Window,City,ItemA,ItemB,CosineSimilarity
W1,Bahawalpur,Bananas (Kela) Local,Tea Lipton Yellow Label 190 gm Packet,0.207176
W1,Bahawalpur,Bananas (Kela) Local,Tea Prepared Ordinary,-0.075788
W1,Bahawalpur,Bananas (Kela) Local,Telephone Call Charges,0.0
W1,Bahawalpur,Bananas (Kela) Local,Toilet Soap LIFEBUOY 115 gm,-0.169195
W1,Bahawalpur,Bananas (Kela) Local,Tomatoes,-0.520235
W1,Bahawalpur,Bananas (Kela) Local,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,0.40994
W1,Bahawalpur,Bananas (Kela) Local,Vegetable Ghee DALDA/HABIB or Other Superior Quality 1 kg Pouch,0.474069
W1,Bahawalpur,Bananas (Kela) Local,Wheat Flour Bag,0.115161
W1,Bahawalpur,Beef with Bone (Average Quality),Bread plain (Small Size),0.117808
W1,Bahawalpur,Beef with Bone (Average Quality),Chicken Farm Broiler (Live),0.013369
W1,Bahawalpur,Beef with Bone (Average Quality),Chilies Powder NATIONAL 200 gm Packet,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Cigarettes Capstan 20'S Packet,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Cooked Beef at Average Hotel,0.600078
W1,Bahawalpur,Beef with Bone (Average Quality),Cooked Daal at Average Hotel,0.439125
W1,Bahawalpur,Beef with Bone (Average Quality),"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",-0.529971
W1,Bahawalpur,Beef with Bone (Average Quality),Curd (Dahi) Loose,0.078707
W1,Bahawalpur,Beef with Bone (Average Quality),Eggs Hen (Farm),-0.091462
W1,Bahawalpur,Beef with Bone (Average Quality),Electricity Charges upto 50 Units,0.150191
W1,Bahawalpur,Beef with Bone (Average Quality),Energy Saver Philips 14 Watt,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Firewood Whole,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Garlic (Lehsun),-0.312521
W1,Bahawalpur,Beef with Bone (Average Quality),Gas Charges upto 3.3719 MMBTU,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Gents Sandal Bata,0.155316
W1,Bahawalpur,Beef with Bone (Average Quality),Gents Sponge Chappal Bata,0.173625
W1,Bahawalpur,Beef with Bone (Average Quality),Georgette (Average Quality),0.104454
W1,Bahawalpur,Beef with Bone (Average Quality),Gur (Average Quality),0.341206
W1,Bahawalpur,Beef with Bone (Average Quality),Hi-Speed Diesel,-0.20358
W1,Bahawalpur,Beef with Bone (Average Quality),LPG 11.67 kg Cylinder,-0.571638
W1,Bahawalpur,Beef with Bone (Average Quality),Ladies Sandal Bata,0.173625
W1,Bahawalpur,Beef with Bone (Average Quality),Lawn Printed Gul Ahmed/Al Karam,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),"Long Cloth 57"" Gul Ahmed/Al Karam",0.234206
W1,Bahawalpur,Beef with Bone (Average Quality),Match Box,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Milk fresh (Un-boiled),0.416923
W1,Bahawalpur,Beef with Bone (Average Quality),Mustard Oil (Average Quality),-0.402605
W1,Bahawalpur,Beef with Bone (Average Quality),Mutton (Average Quality),0.363139
W1,Bahawalpur,Beef with Bone (Average Quality),Onions,0.004007
W1,Bahawalpur,Beef with Bone (Average Quality),Petrol Super,-0.217227
W1,Bahawalpur,Beef with Bone (Average Quality),Potatoes,0.188779
W1,Bahawalpur,Beef with Bone (Average Quality),Powdered Milk NIDO 390 gm Polybag,0.22683
W1,Bahawalpur,Beef with Bone (Average Quality),Pulse Gram,-0.333621
W1,Bahawalpur,Beef with Bone (Average Quality),Pulse Mash (Washed),0.178207
W1,Bahawalpur,Beef with Bone (Average Quality),Pulse Masoor (Washed),-0.126681
W1,Bahawalpur,Beef with Bone (Average Quality),Pulse Moong (Washed),-0.424128
W1,Bahawalpur,Beef with Bone (Average Quality),Rice Basmati Broken (Average Quality),0.184838
W1,Bahawalpur,Beef with Bone (Average Quality),Rice IRRI-6/9 (Sindh/Punjab),0.056331
W1,Bahawalpur,Beef with Bone (Average Quality),Salt Powdered (NATIONAL/SHAN) 800 gm Packet,0.307188
W1,Bahawalpur,Beef with Bone (Average Quality),Shirting (Average Quality),0.788949
W1,Bahawalpur,Beef with Bone (Average Quality),Sufi Washing Soap 250 gm Cake,0.055514
W1,Bahawalpur,Beef with Bone (Average Quality),Sugar Refined,0.356381
W1,Bahawalpur,Beef with Bone (Average Quality),Tea Lipton Yellow Label 190 gm Packet,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Tea Prepared Ordinary,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Telephone Call Charges,0.0
W1,Bahawalpur,Beef with Bone (Average Quality),Toilet Soap LIFEBUOY 115 gm,0.364044
W1,Bahawalpur,Beef with Bone (Average Quality),Tomatoes,0.467251
W1,Bahawalpur,Beef with Bone (Average Quality),Vegetable Ghee DALDA/HABIB 2.5 kg Tin,-0.482191
W1,Bahawalpur,Beef with Bone (Average Quality),Vegetable Ghee DALDA/HABIB or Other Superior Quality 1 kg Pouch,-0.590804
W1,Bahawalpur,Beef with Bone (Average Quality),Wheat Flour Bag,0.257638
W1,Bahawalpur,Bread plain (Small Size),Chicken Farm Broiler (Live),0.077804
W1,Bahawalpur,Bread plain (Small Size),Chilies Powder NATIONAL 200 gm Packet,0.445483
W1,Bahawalpur,Bread plain (Small Size),Cigarettes Capstan 20'S Packet,0.0
W1,Bahawalpur,Bread plain (Small Size),Cooked Beef at Average Hotel,0.333233
W1,Bahawalpur,Bread plain (Small Size),Cooked Daal at Average Hotel,0.612106
W1,Bahawalpur,Bread plain (Small Size),"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",-0.362046
W1,Bahawalpur,Bread plain (Small Size),Curd (Dahi) Loose,0.793232
W1,Bahawalpur,Bread plain (Small Size),Eggs Hen (Farm),0.163427
W1,Bahawalpur,Bread plain (Small Size),Electricity Charges upto 50 Units,0.016595
W1,Bahawalpur,Bread plain (Small Size),Energy Saver Philips 14 Watt,0.407294
W1,Bahawalpur,Bread plain (Small Size),Firewood Whole,0.0
W1,Bahawalpur,Bread plain (Small Size),Garlic (Lehsun),0.376535
W1,Bahawalpur,Bread plain (Small Size),Gas Charges upto 3.3719 MMBTU,0.0
W1,Bahawalpur,Bread plain (Small Size),Gents Sandal Bata,0.89572
W1,Bahawalpur,Bread plain (Small Size),Gents Sponge Chappal Bata,0.67852
W1,Bahawalpur,Bread plain (Small Size),Georgette (Average Quality),0.623544
W1,Bahawalpur,Bread plain (Small Size),Gur (Average Quality),0.503017
W1,Bahawalpur,Bread plain (Small Size),Hi-Speed Diesel,0.144293
W1,Bahawalpur,Bread plain (Small Size),LPG 11.67 kg Cylinder,0.101403
W1,Bahawalpur,Bread plain (Small Size),Ladies Sandal Bata,0.67852
W1,Bahawalpur,Bread plain (Small Size),Lawn Printed Gul Ahmed/Al Karam,0.197577
W1,Bahawalpur,Bread plain (Small Size),"Long Cloth 57"" Gul Ahmed/Al Karam",0.199426
W1,Bahawalpur,Bread plain (Small Size),Match Box,0.471727
W1,Bahawalpur,Bread plain (Small Size),Milk fresh (Un-boiled),0.820922
W1,Bahawalpur,Bread plain (Small Size),Mustard Oil (Average Quality),0.003521
W1,Bahawalpur,Bread plain (Small Size),Mutton (Average Quality),0.712306
W1,Bahawalpur,Bread plain (Small Size),Onions,-0.096071
W1,Bahawalpur,Bread plain (Small Size),Petrol Super,0.369571
W1,Bahawalpur,Bread plain (Small Size),Potatoes,0.255462
W1,Bahawalpur,Bread plain (Small Size),Powdered Milk NIDO 390 gm Polybag,0.701122
W1,Bahawalpur,Bread plain (Small Size),Pulse Gram,0.035785
W1,Bahawalpur,Bread plain (Small Size),Pulse Mash (Washed),0.520794
W1,Bahawalpur,Bread plain (Small Size),Pulse Masoor (Washed),0.522518
W1,Bahawalpur,Bread plain (Small Size),Pulse Moong (Washed),0.183366
W1,Bahawalpur,Bread plain (Small Size),Rice Basmati Broken (Average Quality),0.438785
W1,Bahawalpur,Bread plain (Small Size),Rice IRRI-6/9 (Sindh/Punjab),0.491875
W1,Bahawalpur,Bread plain (Small Size),Salt Powdered (NATIONAL/SHAN) 800 gm Packet,0.54141
W1,Bahawalpur,Bread plain (Small Size),Shirting (Average Quality),0.002781
W1,Bahawalpur,Bread plain (Small Size),Sufi Washing Soap 250 gm Cake,0.421083
W1,Bahawalpur,Bread plain (Small Size),Sugar Refined,0.163645
W1,Bahawalpur,Bread plain (Small Size),Tea Lipton Yellow Label 190 gm Packet,0.031929
W1,Bahawalpur,Bread plain (Small Size),Tea Prepared Ordinary,0.0
W1,Bahawalpur,Bread plain (Small Size),Telephone Call Charges,0.0
W1,Bahawalpur,Bread plain (Small Size),Toilet Soap LIFEBUOY 115 gm,0.637915
W1,Bahawalpur,Bread plain (Small Size),Tomatoes,-0.220613
W1,Bahawalpur,Bread plain (Small Size),Vegetable Ghee DALDA/HABIB 2.5 kg Tin,-0.281377
W1,Bahawalpur,Bread plain (Small Size),Vegetable Ghee DALDA/HABIB or Other Superior Quality 1 kg Pouch,-0.233895
W1,Bahawalpur,Bread plain (Small Size),Wheat Flour Bag,0.201597
W1,Bahawalpur,Chicken Farm Broiler (Live),Chilies Powder NATIONAL 200 gm Packet,-0.331218
W1,Bahawalpur,Chicken Farm Broiler (Live),Cigarettes Capstan 20'S Packet,0.0
W1,Bahawalpur,Chicken Farm Broiler (Live),Cooked Beef at Average Hotel,0.306556
W1,Bahawalpur,Chicken Farm Broiler (Live),Cooked Daal at Average Hotel,0.40534
W1,Bahawalpur,Chicken Farm Broiler (Live),"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",0.107213
W1,Bahawalpur,Chicken Farm Broiler (Live),Curd (Dahi) Loose,-0.050419
W1,Bahawalpur,Chicken Farm Broiler (Live),Eggs Hen (Farm),0.292331
W1,Bahawalpur,Chicken Farm Broiler (Live),Electricity Charges upto 50 Units,-0.140114
W1,Bahawalpur,Chicken Farm Broiler (Live),Energy Saver Philips 14 Watt,-0.33064
W1,Bahawalpur,Chicken Farm Broiler (Live),Firewood Whole,0.574795
W1,Bahawalpur,Chicken Farm Broiler (Live),Garlic (Lehsun),-0.29582
W1,Bahawalpur,Chicken Farm Broiler (Live),Gas Charges upto 3.3719 MMBTU,-0.029425
W1,Bahawalpur,Chicken Farm Broiler (Live),Gents Sandal Bata,0.234005
W1,Bahawalpur,Chicken Farm Broiler (Live),Gents Sponge Chappal Bata,0.396305
W1,Bahawalpur,Chicken Farm Broiler (Live),Georgette (Average Quality),0.361712
W1,Bahawalpur,Chicken Farm Broiler (Live),Gur (Average Quality),0.412525
W1,Bahawalpur,Chicken Farm Broiler (Live),Hi-Speed Diesel,-0.504237
W1,Bahawalpur,Chicken Farm Broiler (Live),LPG 11.67 kg Cylinder,-0.191864
W1,Bahawalpur,Chicken Farm Broiler (Live),Ladies Sandal Bata,0.396305
W1,Bahawalpur,Chicken Farm Broiler (Live),Lawn Printed Gul Ahmed/Al Karam,-0.036889
W1,Bahawalpur,Chicken Farm Broiler (Live),"Long Cloth 57"" Gul Ahmed/Al Karam",-0.078822
W1,Bahawalpur,Chicken Farm Broiler (Live),Match Box,-0.220766
W1,Bahawalpur,Chicken Farm Broiler (Live),Milk fresh (Un-boiled),0.042779
W1,Bahawalpur,Chicken Farm Broiler (Live),Mustard Oil (Average Quality),0.330964
W1,Bahawalpur,Chicken Farm Broiler (Live),Mutton (Average Quality),0.213019
W1,Bahawalpur,Chicken Farm Broiler (Live),Onions,0.307259
W1,Bahawalpur,Chicken Farm Broiler (Live),Petrol Super,-0.389612
W1,Bahawalpur,Chicken Farm Broiler (Live),Potatoes,-0.251761
W1,Bahawalpur,Chicken Farm Broiler (Live),Powdered Milk NIDO 390 gm Polybag,0.010968
W1,Bahawalpur,Chicken Farm Broiler (Live),Pulse Gram,0.608855
W1,Bahawalpur,Chicken Farm Broiler (Live),Pulse Mash (Washed),-0.161594
W1,Bahawalpur,Chicken Farm Broiler (Live),Pulse Masoor (Washed),-0.284723
W1,Bahawalpur,Chicken Farm Broiler (Live),Pulse Moong (Washed),0.452016
W1,Bahawalpur,Chicken Farm Broiler (Live),Rice Basmati Broken (Average Quality),-0.079855
W1,Bahawalpur,Chicken Farm Broiler (Live),Rice IRRI-6/9 (Sindh/Punjab),0.039581
W1,Bahawalpur,Chicken Farm Broiler (Live),Salt Powdered (NATIONAL/SHAN) 800 gm Packet,-0.351239
W1,Bahawalpur,Chicken Farm Broiler (Live),Shirting (Average Quality),-0.17084
W1,Bahawalpur,Chicken Farm Broiler (Live),Sufi Washing Soap 250 gm Cake,0.110851
W1,Bahawalpur,Chicken Farm Broiler (Live),Sugar Refined,-0.043697
W1,Bahawalpur,Chicken Farm Broiler (Live),Tea Lipton Yellow Label 190 gm Packet,0.002199
W1,Bahawalpur,Chicken Farm Broiler (Live),Tea Prepared Ordinary,-0.028241
W1,Bahawalpur,Chicken Farm Broiler (Live),Telephone Call Charges,0.0
W1,Bahawalpur,Chicken Farm Broiler (Live),Toilet Soap LIFEBUOY 115 gm,0.418379
W1,Bahawalpur,Chicken Farm Broiler (Live),Tomatoes,0.121201
W1,Bahawalpur,Chicken Farm Broiler (Live),Vegetable Ghee DALDA/HABIB 2.5 kg Tin,0.239591
W1,Bahawalpur,Chicken Farm Broiler (Live),Vegetable Ghee DALDA/HABIB or Other Superior Quality 1 kg Pouch,0.200081
W1,Bahawalpur,Chicken Farm Broiler (Live),Wheat Flour Bag,-0.123016
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Cigarettes Capstan 20'S Packet,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Cooked Beef at Average Hotel,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Cooked Daal at Average Hotel,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",-0.407922
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Curd (Dahi) Loose,0.25443
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Eggs Hen (Farm),0.243234
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Electricity Charges upto 50 Units,0.557956
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Energy Saver Philips 14 Watt,0.997173
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Firewood Whole,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Garlic (Lehsun),0.799369
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Gas Charges upto 3.3719 MMBTU,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Gents Sandal Bata,0.367496
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Gents Sponge Chappal Bata,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Georgette (Average Quality),0.100556
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Gur (Average Quality),0.206259
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Hi-Speed Diesel,0.759566
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,LPG 11.67 kg Cylinder,0.58048
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Ladies Sandal Bata,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Lawn Printed Gul Ahmed/Al Karam,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,"Long Cloth 57"" Gul Ahmed/Al Karam",0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Match Box,0.178915
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Milk fresh (Un-boiled),0.262244
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Mustard Oil (Average Quality),0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Mutton (Average Quality),0.669424
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Onions,0.211343
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Petrol Super,0.769851
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Potatoes,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Powdered Milk NIDO 390 gm Polybag,0.767017
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Pulse Gram,0.255521
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Pulse Mash (Washed),0.826237
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Pulse Masoor (Washed),0.828895
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Pulse Moong (Washed),0.453082
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Rice Basmati Broken (Average Quality),0.694634
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Rice IRRI-6/9 (Sindh/Punjab),0.452891
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Salt Powdered (NATIONAL/SHAN) 800 gm Packet,0.864442
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Shirting (Average Quality),0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Sufi Washing Soap 250 gm Cake,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Sugar Refined,0.524928
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Tea Lipton Yellow Label 190 gm Packet,-0.053835
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Tea Prepared Ordinary,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Telephone Call Charges,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Toilet Soap LIFEBUOY 115 gm,0.0
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Tomatoes,0.097546
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,-0.449655
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Vegetable Ghee DALDA/HABIB or Other Superior Quality 1 kg Pouch,-0.377431
W1,Bahawalpur,Chilies Powder NATIONAL 200 gm Packet,Wheat Flour Bag,0.057217
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Cooked Beef at Average Hotel,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Cooked Daal at Average Hotel,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Curd (Dahi) Loose,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Eggs Hen (Farm),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Electricity Charges upto 50 Units,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Energy Saver Philips 14 Watt,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Firewood Whole,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Garlic (Lehsun),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Gas Charges upto 3.3719 MMBTU,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Gents Sandal Bata,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Gents Sponge Chappal Bata,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Georgette (Average Quality),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Gur (Average Quality),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Hi-Speed Diesel,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,LPG 11.67 kg Cylinder,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Ladies Sandal Bata,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Lawn Printed Gul Ahmed/Al Karam,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,"Long Cloth 57"" Gul Ahmed/Al Karam",0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Match Box,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Milk fresh (Un-boiled),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Mustard Oil (Average Quality),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Mutton (Average Quality),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Onions,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Petrol Super,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Potatoes,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Powdered Milk NIDO 390 gm Polybag,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Pulse Gram,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Pulse Mash (Washed),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Pulse Masoor (Washed),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Pulse Moong (Washed),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Rice Basmati Broken (Average Quality),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Rice IRRI-6/9 (Sindh/Punjab),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Salt Powdered (NATIONAL/SHAN) 800 gm Packet,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Shirting (Average Quality),0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Sufi Washing Soap 250 gm Cake,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Sugar Refined,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Tea Lipton Yellow Label 190 gm Packet,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Tea Prepared Ordinary,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Telephone Call Charges,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Toilet Soap LIFEBUOY 115 gm,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Tomatoes,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Vegetable Ghee DALDA/HABIB or Other Superior Quality 1 kg Pouch,0.0
W1,Bahawalpur,Cigarettes Capstan 20'S Packet,Wheat Flour Bag,0.0
W1,Bahawalpur,Cooked Beef at Average Hotel,Cooked Daal at Average Hotel,0.848103
W1,Bahawalpur,Cooked Beef at Average Hotel,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",-0.078814
W1,Bahawalpur,Cooked Beef at Average Hotel,Curd (Dahi) Loose,0.230843
W1,Bahawalpur,Cooked Beef at Average Hotel,Eggs Hen (Farm),-0.171564
W1,Bahawalpur,Cooked Beef at Average Hotel,Electricity Charges upto 50 Units,-0.032566
W1,Bahawalpur,Cooked Beef at Average Hotel,Energy Saver Philips 14 Watt,0.0
W1,Bahawalpur,Cooked Beef at Average Hotel,Firewood Whole,0.0
W1,Bahawalpur,Cooked Beef at Average Hotel,Garlic (Lehsun),-0.35297
W1,Bahawalpur,Cooked Beef at Average Hotel,Gas Charges upto 3.3719 MMBTU,0.0
W1,Bahawalpur,Cooked Beef at Average Hotel,Gents Sandal Bata,0.427386
W1,Bahawalpur,Cooked Beef at Average Hotel,Gents Sponge Chappal Bata,0.477766
W1,Bahawalpur,Cooked Beef at Average Hotel,Georgette (Average Quality),0.310071
W1,Bahawalpur,Cooked Beef at Average Hotel,Gur (Average Quality),0.312756
W1,Bahawalpur,Cooked Beef at Average Hotel,Hi-Speed Diesel,-0.455766
W1,Bahawalpur,Cooked Beef at Average Hotel,LPG 11.67 kg Cylinder,-0.7224
W1,Bahawalpur,Cooked Beef at Average Hotel,Ladies Sandal Bata,0.477766
